_id,CHR
3033,5
3034,6
3035,6
3036,7
3037,8
3038,9
3039,1
3040,10
3041,10
3042,10
3043,2
3044,11
3045,11
3046,12
3047,3
3048,12
3049,3
3050,4
3051,4
3052,4
3053,6
3054,6
3055,7
3056,9
3057,10
3058,10
3059,2
3060,2
3061,12
3062,3
3063,4
3064,4
3065,5
3066,6
3067,7
3068,7
3069,8
3070,1
3071,1
3072,9
3073,1
3074,10
3075,1
3076,10
3077,1
3078,10
3079,2
3080,11
3081,2
3082,11
3083,3
3084,12
3085,5
3086,7
3087,9
3088,10
3089,10
3090,2
3091,11
3092,2
3093,11
3094,11
3095,12
3096,3
3097,5
3098,5
3099,6
3100,6
3101,8
3102,1
3103,11
3104,2
3105,11
3106,2
3107,2
3108,2
3109,11
3110,3
3111,4
3112,6
3113,7
3114,8
3115,8
3116,9
3117,10
3118,1
3119,10
3120,11
3121,4
3122,4
3123,6
3124,7
3125,8
3126,9
3127,1
3128,1
3129,11
3130,11
3131,11
3132,3
3133,3
3134,12
3135,4
3136,5
3137,6
3138,6
3139,8
3140,8
3141,1
3142,2
