_id,GO,EVIDENCE,ONTOLOGY
64,GO:0072488,IEA,BP
64,GO:0010311,IEA,BP
64,GO:0051258,IEA,BP
64,GO:0015843,IEA,BP
64,GO:0009737,IEA,BP
64,GO:0008519,IEA,MF
64,GO:0080167,IEA,BP
64,GO:0005634,IEA,CC
65,GO:0016887,IEA,MF
65,GO:0045429,IEA,BP
65,GO:0006457,IEA,BP
65,GO:0010187,IEA,BP
65,GO:0009570,IEA,CC
65,GO:0051082,IEA,MF
65,GO:0046685,IEA,BP
65,GO:0005524,IEA,MF
65,GO:0005739,IEA,CC
65,GO:0030235,IEA,MF
65,GO:0005886,IEA,CC
65,GO:0048366,IEA,BP
65,GO:0050821,IEA,BP
65,GO:0005829,IEA,CC
65,GO:0009506,IEA,CC
65,GO:0090332,IEA,BP
65,GO:0071277,IEA,BP
65,GO:0009908,IEA,BP
65,GO:0030911,IEA,MF
65,GO:0005730,IEA,CC
65,GO:0009816,IEA,BP
65,GO:0005774,IEA,CC
65,GO:0010286,IEA,BP
65,GO:0005618,IEA,CC
65,GO:0048046,IEA,CC
65,GO:0009414,IEA,BP
65,GO:0009651,IEA,BP
66,GO:0005515,IEA,MF
66,GO:0007267,IEA,BP
66,GO:0005773,IEA,CC
66,GO:0005886,IEA,CC
66,GO:0009506,IEA,CC
66,GO:0048032,IEA,MF
67,GO:0005515,IEA,MF
67,GO:0005886,IEA,CC
67,GO:0009506,IEA,CC
67,GO:0005773,IEA,CC
67,GO:0048032,IEA,MF
68,GO:0005773,IEA,CC
68,GO:0051510,IEA,BP
68,GO:0009911,IEA,BP
68,GO:0004672,IEA,MF
68,GO:0005634,IEA,CC
68,GO:0010617,IEA,BP
68,GO:0055114,IEA,BP
68,GO:0009583,IEA,BP
68,GO:0006281,IEA,BP
68,GO:0006338,IEA,BP
68,GO:0009638,IEA,BP
68,GO:0042803,IEA,MF
68,GO:0009882,IEA,MF
68,GO:0010118,IEA,BP
68,GO:0046777,IEA,BP
68,GO:0046283,IEA,BP
68,GO:0010075,IEA,BP
